USAF,WBAN,Station_Name,CTRY,ST,Call,LAT,LON,ELEV,BEGIN,END
010100,99999,ANDOYA,NO,ENAN,+69.293,16.144,13.1,19310103.0,2025-03-10,
010110,99999,KVITOYA,SV,+80.067,+031.500,10.0,19861118.0,20250310.0,,
010120,99999,19741130,19751116,,,,,,,
010140,99999,SENJA-LAUKHELLA,NO,+69.233,+017.900,9.0,19730101.0,20140523.0,,
010150,99999,HEKKINGEN,FYR,NO,+69.600,17.833,14.0,19800314.0,2025-03-10,
010160,99999,KONGSOYA,NO,+78.933,+028.900,20.0,19930501.0,20250310.0,,
010170,99999,AKSELOYA,SV,+77.683,+014.783,6.0,19730101.0,20250310.0,,
010171,99999,GIBOSTAD,NO,+69.350,+018.083,12.0,20050216.0,20070307.0,,
010190,99999,SVARTTANGEN,NO,+77.517,+020.817,20.0,20100825.0,20140523.0,,
010200,99999,SORKAPPOYA,SV,+76.483,+016.550,10.0,20101008.0,20250310.0,,
010230,99999,BARDUFOSS,NO,ENDU,+69.056,18.54,76.8,19400713.0,2025-03-10,
010231,99999,DRAUGEN,NO,ENDR,+64.350,7.8,0.0,20040510.0,2025-03-10,
010240,99999,PYRAMIDEN,NO,+78.650,+016.367,20.0,19730101.0,20231019.0,,
010250,99999,TROMSO,NO,ENTC,+69.683,18.919,9.4,19730101.0,2025-03-10,
010260,99999,TROMSO,NO,+69.650,+018.933,114.5,19970201.0,20250310.0,,
010270,99999,TROMSO-HOLT,NO,+69.650,+018.900,20.0,20110928.0,20250310.0,,
010280,99999,BJORNOYA,ISLAND,NO,ENBJ,74.517,19.017,18.0,1931-01-03,2025-03-10
010300,99999,KISTEFJELL,NO,+69.283,+018.133,982.0,19510101.0,20250310.0,,
010303,99999,TROMSO/SKATTURA,NO,+69.700,+019.017,14.0,20140522.0,20150108.0,,
010320,99999,OVERBYGD,NO,+69.017,+019.283,78.0,19730101.0,20140523.0,,
010330,99999,TORSVAG,FYR,NO,+70.250,19.5,24.0,19730101.0,2025-03-10,
010340,99999,FUGLOYKALVEN,FYR,NO,+70.317,20.15,38.0,19871202.0,1997-12-31,
010350,99999,LYNGEN,GJERDVASSBU,NO,+69.567,20.1,710.0,19730101.0,2025-03-10,
