Year,Average Temperature,Number of Wildfires,Acres Burned
1987,16.52915254237288,"13,476","873,000"
1988,17.149344262295084,"13,290","345,000"
1989,16.92639344262295,"10,024","173,400"
1990,16.65566666666667,"10,548","365,200"
1991,16.53142857142857,"9,609","44,200"
1992,17.56661290322581,"12,047","282,745"
1993,16.871,"8,689","309,779"
1994,16.610535714285714,"10,269","526,219"
1995,16.966382978723406,"8,492","209,815"
1996,17.529454545454545,"10,610","752,372"
1997,17.292280701754386,"9,502","283,885"
1998,15.678235294117648,"7,572","215,412"
1999,15.328311688311688,"11,125","1,172,850"
2000,15.567160493827162,"7,622","295,026"
2001,15.515416666666667,"9,458","329,126"
2002,15.600366972477065,"8,328","969,890"
2003,16.063663366336634,"9,116","1,020,460"
2004,15.837692307692306,"8,415","264,988"
2005,15.756039603960396,"7,162","222,538"
2006,15.905360824742267,"8,202","736,022"
2007,15.92049504950495,"9,093","1,520,362"
2008,16.093,"6,255","1,593,690"
2009,15.911621621621622,"9,159","422,147"
2010,15.434519230769231,"6,554","109,529"
2011,15.400377358490566,"7,989","168,545"
2012,16.22570093457944,"7,950","869,599"
2013,16.51861386138614,"9,907","601,635"
2014,17.32,"7,865","625,540"
2015,17.408990825688072,"8,745","893,362"
2016,16.69373831775701,"6,986","669,534"
2017,17.098144329896908,"9,560","1,548,429"
2018,16.692282608695653,"8,527","1,975,086"
2019,16.184731182795698,"7,860","259,823"
2020,17.096363636363638,"9,639","4,397,809"
2021,16.175862068965518,"8,835","2,568,948"
2022,16.90505376344086,"7,490","362,455"
2023,16.157777777777778,"7,127","324,917"
